student_id,student_name,site_name,program_name,date,present
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-02,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-03,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-04,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-05,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-08,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-09,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-10,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-11,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-12,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-15,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-16,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-17,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-18,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-19,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-22,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-23,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-24,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-25,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-26,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-29,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-09-30,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-10-01,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-10-02,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-10-03,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-10-06,1
STU1001,Nicole Davis,Lincoln Elementary,After School Enrichment,2025-10-07,1
